ISO,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARG,Argentina,52.2,52.4,50.8,49.97,53.60,49.61,48.34,53.15,41.21,49.01,43.77,40.48,47.08,41.19,45.39
AUT,Austria,48.2,52.9,54.3,58.09,57.19,55.39,50.69,52,49.49,48.78,44.74,48.09,52.35,51.56,58.17
AUS,Australia,41.9,42.9,49.8,55.39,41.53,35.57,36.56,40.66,25.03,31.27,30.75,28.82,30.06,36.26,45.72
BEL,Belgium,57.2,61.5,63.8,65.20,64.65,61.89,68.73,62.08,49.6,50.63,45.73,45.11,45.9,48.38,55
BGR,Bulgaria,47.5,49.6,51.1,54.27,54.87,54.05,53.85,53.06,45.35,48.11,40.12,42.64,48.71,49.15,46.94
BRA,Brazil,68.0,70.5,66.9,58.20,55.53,48.51,51.9,52.46,57.86,59.29,55.82,53.26,54.86,48.39,61.74
BLR,Belarus,51.4,57.6,56.3,57.98,56.48,54.54,51.18,46.86,56.38,53.31,44.18,47.27,46.66,43.69,46.8
CAN,Canada,40.7,43.9,46.3,45.16,40.39,38.81,38.74,43.06,33.98,34.26,31.01,24.82,26.03,26.47,31.55
CHE,Switzerland,59.4,63.6,65.1,67.61,66.17,65.05,62.09,61.66,61.2,65.42,60.61,60.85,61.7,58.61,61.94
CHN,China,46.6,44.9,44.6,49.03,52.41,51.77,48.6,47.49,45.84,49.6,48.16,48.18,52.2,38.8,45.56
CYP,Cyprus,46.6,53.0,54.0,60.94,57.61,66.99,65.12,64.28,52.29,44.34,41.66,38.73,50.52,49.39,53.09
CZE,Czech Republic,54.6,57.5,50.4,59.13,53.93,57.99,57.03,58.52,45.13,49.73,42.93,38.98,42.15,44.16,45.41
DEU,Germany,65.3,67.0,67.2,67.54,61.90,59.6,58.39,56.58,56.58,55.18,55.78,56.39,63.53,61.11,65.77
DNK,Denmark,57.0,54.6,63.9,72.61,75.23,77.76,71.19,61.87,59.49,61.96,71.14,69.42,76.67,79.61,75.59
DZA,Algeria,55.1,57.5,54.4,52.34,49.92,54.46,53.3,48.46,43.61,42.1,41.45,43.27,39.91,42.26,44.54
EST,Estonia,51.3,52.7,53.0,52.45,45.52,51.58,47.24,46.04,52.02,44.37,48.05,46.01,54.98,65.14,72.07
ESP,Spain,51.8,54.4,54.2,59.18,60.37,57.34,52.63,56.14,48.19,48.97,46.03,45.02,54.35,58.59,63.37
FIN,Finland,49.5,55.1,53.9,56.58,56.57,56.76,58.27,56.28,66.55,62.61,63.25,62.63,62.41,61.24,61.11
FRA,France,63.5,64.6,66.3,64.74,65.90,64.11,65.97,66.17,59.8,59.3,57.9,53.72,61.01,52.97,57.12
GBR,United Kingdom,65.3,65.9,67.4,67.33,69.66,70.79,70.13,66.1,66.79,65.92,69.8,69.66,73.09,63.07,62.36
GRC,Greece,46.0,52.4,50.3,52.04,51.50,55.89,55.06,58.29,47.86,50.86,52.59,48.11,58.22,57.52,60.34
HRV,Croatia,47.4,50.2,47.2,56.37,52.79,56.35,58.43,60.66,61.19,62.39,56.97,56.69,55.96,52.04,57.32
