,REF_AREA,TIME_PERIOD,EPS,EPI,GCI 4.0: Energy efficiency regulation,GCI 4.0: Environment-related treaties in force,GCI 4.0: Renewable energy regulation,CCPI_SCORE,A01T03_Domestic,A01T03_Foreign,B05T09_Domestic,B05T09_Foreign,C10T12_Domestic,C10T12_Foreign,C13T15_Domestic,C13T15_Foreign,C16_Domestic,C16_Foreign,C17T18_Domestic,C17T18_Foreign,C19_Domestic,C19_Foreign,C20_Domestic,C20_Foreign,C21_Domestic,C21_Foreign,C22_Domestic,C22_Foreign,C23_Domestic,C23_Foreign,C24_Domestic,C24_Foreign,C25_Domestic,C25_Foreign,C26_Domestic,C26_Foreign,C27_Domestic,C27_Foreign,C28_Domestic,C28_Foreign,C29_Domestic,C29_Foreign,C30_Domestic,C30_Foreign,C31T33_Domestic,C31T33_Foreign,D35_E36T39_Domestic,D35_E36T39_Foreign,F41T43_Domestic,F41T43_Foreign,G45T47_Domestic,G45T47_Foreign,H49_Domestic,H49_Foreign,H50_Domestic,H50_Foreign,H51_Domestic,H51_Foreign,H52_Domestic,H52_Foreign,H53_Domestic,H53_Foreign,I55T56_Domestic,I55T56_Foreign,J58T60_Domestic,J58T60_Foreign,J61_Domestic,J61_Foreign,J62T63_Domestic,J62T63_Foreign,K64T66_Domestic,K64T66_Foreign,L68_Domestic,L68_Foreign,M69T75_Domestic,M69T75_Foreign,N77T82_Domestic,N77T82_Foreign,O84_Domestic,O84_Foreign,P85_Domestic,P85_Foreign,Q86T88_Domestic,Q86T88_Foreign,R90T93_Domestic,R90T93_Foreign,S94T96_Domestic,S94T96_Foreign,T97T98_Domestic,T97T98_Foreign,GDP,TRADE,INTEREST_PAYMENTS,OIL_RENTS,FINANCIAL_DEVELOPMENT
0,AGO,2014,,24.395940853116052,,,,,5.3425,0.6553,22379.5169,8455.1243,96.7505,73.9507,4.9586,1.1897,1.2047,1.1148,1.5415,2.0167,446.7666,156.3006,222.3386,335.5925,0.3593,3.8196,0.3888,0.8228,0.6483,0.8317,4.8584,5.6706,1.3991,1.7109,4.7369,13.1809,1.1076,1.8654,59.9747,84.6845,1.3353,6.8324,0.4966,1.8484,11.1968,9.163,414.336,142.7451,0.0544,0.003,274.7383,265.6986,74.8051,21.674,136.5619,20.801,23.8334,7.2829,14.5496,10.0677,0.9609,0.0884,11.2436,9.3747,14.178,5.6467,30.7398,9.6762,19.41,19.4757,52.2482,77.9521,34.622,8.912,58.8717,48.1048,111.6977,95.562,0.0,0.0,0.5498,0.0065,0.9193,0.0602,2.2474,0.9313,1.4153,0.15,0.0,0.0,5649.687625,69.5801424481147,3.32653719268244,21.736607448329,0.131
1,AGO,2015,,22.427692068873654,,,,,1.7533,0.1273,11658.2369,3743.3691,24.196,22.9919,4.3044,1.2497,2.7625,3.6188,2.8191,4.8221,145.3435,60.9042,44.7899,101.1777,0.0771,1.1909,1.5882,4.9409,3.7233,8.0707,6.5641,9.8814,14.3425,30.251,12.4016,62.8551,6.9431,15.503,101.4295,200.186,3.5572,27.3036,1.8154,9.5318,8.1655,8.3444,234.3682,97.7058,0.0509,0.0045,133.2833,156.8334,49.966,18.3482,87.6149,16.7131,15.9661,6.2448,7.721,7.3337,0.7505,0.0818,7.0282,6.7145,8.9215,4.4654,17.2571,7.1867,13.2729,18.2024,33.1353,64.2083,24.1958,7.5891,47.8006,51.9775,66.4272,73.7831,0.0,0.0,0.2978,0.0047,0.6523,0.0573,1.407,0.6673,0.8525,0.1052,0.0,0.0,3641.728939,54.9793808779835,9.48574817746618,12.7187303090272,0.145
2,AGO,2016,,25.324425748920028,,,,,4.9659,0.6539,9145.6817,2761.8595,31.6401,34.5878,3.9154,1.2946,4.5639,10.6045,3.3945,6.4456,109.6378,47.7914,36.3816,85.5448,0.0532,0.8441,1.4257,5.3447,8.4442,21.6135,11.9,20.9662,14.731,36.8378,7.1875,41.2901,6.6054,16.3921,71.0897,142.5851,2.8613,22.2568,1.2637,9.4017,5.2818,6.1976,184.4004,84.3352,0.1073,0.0116,148.1703,170.5565,35.6314,13.1103,48.3975,9.3407,10.3525,3.3419,8.1509,7.0037,0.5,0.0537,5.103,3.8721,4.9345,2.5308,9.1294,3.9055,7.9012,11.691,17.2822,31.3539,20.2153,6.3846,37.7035,39.951,33.4136,35.2114,0.0,0.0,0.2472,0.0019,0.6787,0.0397,1.2357,0.4976,0.7368,0.0693,0.0,0.0,2051.814621,47.0155661405313,13.7020911962502,19.7483988340046,0.151
3,AGO,2017,,32.126488281242736,,,,,3.4491,0.4018,12181.4089,2942.9398,36.6059,31.4763,4.3155,1.2527,5.8567,10.1251,3.8211,5.4258,220.5091,82.2442,62.5382,107.0779,0.0665,0.9409,1.1867,3.1455,2.5165,4.1659,7.8096,11.1006,6.3001,12.2287,10.1135,38.8543,6.8768,12.6531,73.9659,113.1056,2.1844,14.7765,1.543,6.733,7.0286,6.8869,248.6016,93.4836,0.0699,0.005,194.3841,173.7482,45.2614,14.4096,67.0264,11.0397,12.7256,3.6897,9.1265,6.9585,0.5924,0.0523,5.7183,3.5758,6.1002,2.6107,10.2264,3.7149,12.0413,14.4552,26.7497,35.9624,24.1888,6.9772,53.793,48.0787,56.4625,52.5443,0.0,0.0,0.2763,0.0016,0.663,0.032,1.489,0.5235,0.8583,0.066,0.0,0.0,2790.718869,45.6643423539921,16.5402705579421,24.7110060055382,0.146
4,AGO,2018,,40.783304668089485,,,,,16.0232,0.912,13858.9106,4156.9201,35.401,29.4822,8.2311,2.4551,6.1474,6.2371,4.3695,5.1391,264.4122,95.083,60.3529,126.591,1.0822,1.6735,3.8548,5.0764,5.0341,6.3252,10.2912,13.6552,7.6952,8.7498,8.052,23.8404,5.2572,7.7978,60.3785,103.9024,3.2686,11.2377,2.0608,2.6076,8.033,6.0505,313.778,121.3542,0.9489,0.1031,281.3818,235.8087,93.641,21.7827,62.1851,14.8062,21.3742,6.8095,24.7727,14.6917,3.6116,0.6334,17.7663,4.4273,9.401,4.7444,13.5859,6.7505,16.2597,17.0093,29.2871,37.8537,76.1289,10.047,52.2428,33.8046,43.2557,30.6343,0.0,0.0,1.6827,0.0061,3.9885,0.1929,5.8996,1.0166,4.2057,0.3697,0.0,0.0,2860.093648,58.916480075976,20.5996010187756,30.7304027285905,0.141
5,AGO,2019,,47.529579367682054,10.62,62.07,30.0,,2.0645,0.2719,11189.5688,3423.812,29.2887,33.3105,2.6965,0.9923,3.2827,6.2597,2.0847,4.0581,136.6241,62.169,43.9448,104.8418,0.0853,0.9608,0.6853,2.705,1.2412,2.8518,4.5799,8.6717,2.5554,5.6509,2.4971,17.4375,3.6945,9.6165,47.8297,102.8324,1.0458,9.8378,0.5677,5.0378,2.1073,2.7762,226.9077,115.0014,0.0743,0.0068,151.9042,209.5149,36.5646,16.0745,45.6758,8.9908,6.8107,2.7031,8.6253,9.3336,0.536,0.0557,2.88,2.5361,2.0111,1.0573,4.7975,1.994,5.4983,9.5901,12.4437,27.0646,17.7341,7.8481,20.3235,23.3505,16.9218,19.8416,0.0,0.0,0.1501,0.0009,0.3497,0.0251,0.8643,0.4741,0.4751,0.0502,0.0,0.0,2493.678844,60.7148243336685,22.494038906987,27.504828641196,0.144
6,AGO,2020,,53.62075404600774,,,,,194.268,40.5111,6657.0205,2062.9899,153.5461,92.8449,108.0279,26.2907,166.3943,128.3872,76.207,40.6503,351.5782,222.2172,224.3998,213.0927,23.1825,14.9866,115.6834,87.7564,75.8824,53.9647,183.459,146.5063,167.5065,124.7594,188.8615,163.9592,116.0402,83.4138,196.9781,179.4035,122.7324,105.3585,50.4024,40.3385,214.2006,136.9292,339.3236,185.6369,57.4507,9.7924,594.4657,481.3378,380.6378,191.4768,339.1678,178.8982,307.008,129.116,271.0899,171.15,86.0761,15.57,129.7051,34.9685,164.1916,64.4302,209.0174,93.7441,178.8289,115.5848,279.6966,185.4815,229.3011,87.5877,308.8125,211.0306,313.6125,219.0999,0.0,0.0,23.1062,0.0,104.2402,4.32,70.6837,8.4032,104.5725,10.3722,0.0,0.0,1759.356199,54.3442286847189,25.187180764127,18.5719595053837,0.143
14,ARG,2014,,41.44156749368646,,,,53.6,398.4464,86.4517,1363.7221,1400.549,7975.3658,3603.9702,574.0155,80.2156,48.5407,14.8157,333.8542,112.2681,837.5334,260.3938,1444.6363,1167.8361,378.9745,524.6404,272.5775,188.1058,56.0755,45.2131,1001.7277,339.9038,149.9841,102.0617,87.5307,100.8699,101.868,86.0838,399.3563,313.6498,728.6643,6330.1834,30.5915,35.8517,81.6161,45.1175,51.7872,19.0031,0.0931,0.0097,2922.596,1282.7355,379.2136,29.807,46.9658,8.5206,312.2634,77.4297,398.7171,151.1726,23.6239,1.708,158.4473,89.4925,99.5773,49.5343,474.6873,88.4325,478.0558,417.9894,44.2,165.9529,24.2442,3.8545,816.6769,401.4466,268.9397,234.0925,0.0,0.0,2.4111,0.0879,2.5129,0.241,13.3617,27.5685,4.5719,0.7987,0.0,0.0,12233.14441,28.4067936452275,8.53190556024392,2.09270565105548,0.302
15,ARG,2015,,42.66895677541952,,,,49.61,298.9589,82.5616,1162.5642,1217.3006,6347.9187,2703.4368,412.4223,69.3043,35.2061,12.3979,262.212,99.0258,638.773,197.2148,1189.389,871.5025,362.5578,446.7342,213.7409,157.0973,43.0092,37.914,750.954,284.4918,118.9547,89.777,71.2235,80.9083,79.13,75.7587,311.9391,249.69,717.2066,4160.3156,21.4017,32.0803,65.9543,41.2354,41.9645,16.9217,0.0797,0.0069,2795.4921,1176.6238,312.6499,30.0599,42.8499,8.9999,230.0021,64.6829,361.6877,155.0152,21.4936,1.8198,142.2297,95.6093,86.6188,50.7364,455.4659,92.2709,434.3486,464.9757,36.7295,165.1709,22.2621,4.2445,770.5792,425.8371,242.2524,250.7074,0.0,0.0,2.1293,0.104,2.2682,0.2277,11.912,29.0616,4.1468,0.8702,0.0,0.0,13679.6265,22.4862260889792,8.32315211040757,0.693912054976671,0.288
16,ARG,2016,,41.46792598269426,,,,48.34,309.0961,88.1595,1013.6626,1169.0851,6310.9475,3290.2138,383.2636,71.6765,32.7146,13.2155,258.229,108.1259,485.7242,158.7788,1245.6639,930.7645,349.9876,446.9421,199.4915,169.8547,42.2685,42.7032,733.2702,318.2369,120.59,103.6329,69.4529,98.3273,73.8483,84.2684,352.3578,302.1242,371.7223,4107.1136,20.1988,33.422,62.0728,45.1082,47.2204,17.2897,0.0922,0.0091,2646.2311,1271.6788,287.5951,29.992,39.4066,8.6832,216.4562,59.297,338.3532,155.3956,19.4807,1.778,137.3247,106.1706,82.7923,53.6934,419.715,97.0591,379.7171,479.9866,34.6637,156.6862,22.0987,4.8444,710.6182,449.6795,224.5574,254.6132,0.0,0.0,2.3542,0.1219,2.4979,0.2509,13.847,35.2255,4.5247,0.9937,0.0,0.0,12699.96231,26.0938878488799,13.9565149181762,0.549552011638029,0.307
