,REF_AREA,TIME_PERIOD,EPS,EPI,GCI 4.0: Energy efficiency regulation,GCI 4.0: Environment-related treaties in force,GCI 4.0: Renewable energy regulation,CCPI_SCORE,A01T03_Domestic,A01T03_Foreign,B05T09_Domestic,B05T09_Foreign,C10T12_Domestic,C10T12_Foreign,C13T15_Domestic,C13T15_Foreign,C16_Domestic,C16_Foreign,C17T18_Domestic,C17T18_Foreign,C19_Domestic,C19_Foreign,C20_Domestic,C20_Foreign,C21_Domestic,C21_Foreign,C22_Domestic,C22_Foreign,C23_Domestic,C23_Foreign,C24_Domestic,C24_Foreign,C25_Domestic,C25_Foreign,C26_Domestic,C26_Foreign,C27_Domestic,C27_Foreign,C28_Domestic,C28_Foreign,C29_Domestic,C29_Foreign,C30_Domestic,C30_Foreign,C31T33_Domestic,C31T33_Foreign,D35_E36T39_Domestic,D35_E36T39_Foreign,F41T43_Domestic,F41T43_Foreign,G45T47_Domestic,G45T47_Foreign,H49_Domestic,H49_Foreign,H50_Domestic,H50_Foreign,H51_Domestic,H51_Foreign,H52_Domestic,H52_Foreign,H53_Domestic,H53_Foreign,I55T56_Domestic,I55T56_Foreign,J58T60_Domestic,J58T60_Foreign,J61_Domestic,J61_Foreign,J62T63_Domestic,J62T63_Foreign,K64T66_Domestic,K64T66_Foreign,L68_Domestic,L68_Foreign,M69T75_Domestic,M69T75_Foreign,N77T82_Domestic,N77T82_Foreign,O84_Domestic,O84_Foreign,P85_Domestic,P85_Foreign,Q86T88_Domestic,Q86T88_Foreign,R90T93_Domestic,R90T93_Foreign,S94T96_Domestic,S94T96_Foreign,T97T98_Domestic,T97T98_Foreign,GDP,TRADE,INTEREST_PAYMENTS,OIL_RENTS,FINANCIAL_DEVELOPMENT
0,AGO,2014,,24.395940853116052,,,,,68.9824,10.5245,1595.4466,938.5891,166.2462,117.2473,123.1537,31.3626,3.0012,2.4284,17.5903,23.3763,215.9375,83.0452,44.3598,78.6311,11.0916,102.1132,24.3134,55.3186,4.5414,5.6275,32.4221,40.1334,26.2613,42.2881,80.5632,195.0816,64.8479,94.0949,179.0674,242.1656,142.8585,589.8436,7.2859,24.3818,28.9843,27.4643,210.902,80.998,336.6788,88.0594,467.9571,389.3778,57.9423,16.9882,235.1282,36.3393,102.385,41.5936,61.4139,56.0322,20.5993,4.1865,41.8319,25.9132,178.5279,48.4098,236.402,53.9199,95.3985,71.1262,180.6942,261.972,55.8993,11.7936,130.7876,93.3791,80.5487,63.0687,0.0,0.0,25.5199,0.6043,18.4862,4.0132,15.0997,4.6622,19.0948,3.8886,0.0,0.0,5649.687625,69.5801424481147,3.32653719268244,21.736607448329,0.131
1,AGO,2015,,22.427692068873654,,,,,41.073,5.9978,478.7042,214.5371,30.6848,26.0144,56.6659,16.9483,0.2374,0.2209,2.4253,4.6863,2.0228,0.8065,5.0917,13.6154,1.6605,23.4583,13.9711,47.0611,0.2961,0.4824,20.7748,34.0581,18.5207,39.3144,27.21,127.7233,37.6159,75.4652,95.4212,186.5203,79.7379,532.0933,4.0896,22.3731,7.2449,8.1403,35.3275,15.1309,116.4919,37.608,255.0977,257.6148,46.542,17.7033,144.8979,28.789,67.7766,33.8277,40.5077,53.5784,15.1372,4.1302,5.7087,2.1626,180.5287,58.1241,201.4964,56.5735,80.9402,80.9922,120.5053,227.3805,48.4584,13.837,104.3424,100.1846,36.5479,35.9534,0.0,0.0,12.7997,0.3406,10.4086,1.967,5.5418,1.5792,11.6778,3.0331,0.0,0.0,3641.728939,54.9793808779835,9.48574817746618,12.7187303090272,0.145
2,AGO,2016,,25.324425748920028,,,,,42.8223,5.7266,102.2253,39.9295,40.5021,37.8746,38.8537,13.0417,1.0556,1.0899,3.3973,7.1867,1.5422,0.5967,3.4722,9.8339,2.1042,28.2559,4.838,19.7418,0.4031,0.685,3.8658,7.7189,9.4045,21.2166,18.1446,102.1722,18.386,44.0979,69.0862,138.9776,41.0696,296.3247,1.5021,13.3108,7.4991,9.4524,14.2379,5.5983,61.5573,15.9732,225.1772,219.5751,27.9062,10.0158,135.9725,26.2307,59.254,29.8056,30.1112,36.9743,11.5806,3.2054,21.8168,12.4193,95.6457,34.5923,113.6187,34.0192,44.6461,50.5476,98.8536,180.643,28.069,5.8391,66.369,61.3072,37.9787,38.0439,0.0,0.0,12.9084,0.2439,9.2007,1.7138,7.0426,2.0909,9.7931,1.8008,0.0,0.0,2051.814621,47.0155661405313,13.7020911962502,19.7483988340046,0.151
3,AGO,2017,,32.126488281242736,,,,,50.5136,5.867,139.9203,46.3984,53.0422,40.0701,50.5325,14.3709,1.2014,1.063,5.0549,8.141,2.0312,0.6777,6.5517,13.5295,3.0866,37.1334,7.4156,21.7945,0.5264,0.7076,3.1145,5.0356,9.7019,16.4575,27.1204,101.5757,24.0927,42.8832,75.48,118.0619,43.6613,290.6774,2.264,12.096,9.5884,9.8308,18.9278,6.5409,71.0578,16.0589,291.3048,220.5478,34.7298,10.605,172.399,28.7409,69.8667,30.7586,35.5013,36.5018,13.159,3.0555,26.2832,13.1868,115.228,34.596,124.6983,31.5436,64.8133,58.7868,143.4752,192.485,32.5411,6.1328,82.8063,64.837,46.6052,39.4847,0.0,0.0,14.9547,0.251,11.4517,1.9127,8.857,2.3349,12.2325,1.9111,0.0,0.0,2790.718869,45.6643423539921,16.5402705579421,24.7110060055382,0.146
4,AGO,2018,,40.783304668089485,,,,,181.8584,12.0449,696.7309,304.3564,56.4352,42.5966,63.9139,20.5546,3.9519,2.8279,13.0883,17.2636,134.2844,52.6492,29.5319,60.1536,10.0451,46.8478,15.1919,31.7097,5.3132,4.7894,11.1885,15.476,20.1495,25.8198,30.2699,116.0087,30.0249,53.9908,79.7947,139.4911,42.0519,340.0898,7.1854,25.2675,23.3766,21.0782,158.5991,57.1344,275.0574,44.5889,361.376,235.7836,80.8897,20.6874,156.0722,32.5688,127.1102,39.8211,67.2145,48.2641,21.2936,7.075,70.3689,19.5456,73.1079,29.7662,80.0648,28.6527,47.4531,45.0255,108.9929,154.9809,88.6001,10.541,105.6357,60.8506,68.524,42.8834,0.0,0.0,45.7373,2.3353,22.093,6.2098,17.3226,6.4972,21.3459,6.3862,0.0,0.0,2860.093648,58.916480075976,20.5996010187756,30.7304027285905,0.141
5,AGO,2019,,47.529579367682054,10.62,62.07,30.0,,17.6665,3.0412,310.5444,151.2739,17.4426,17.1564,23.3761,8.077,0.2339,0.2517,3.3412,7.2286,79.8593,39.859,12.8093,34.3344,2.1309,22.0106,3.9664,17.3935,0.6314,1.1121,3.3432,7.12,5.8547,13.5433,9.9228,68.0883,11.4917,29.2698,37.3956,82.8129,22.0752,195.4991,2.671,20.0965,6.2772,9.1959,51.652,27.6523,58.3751,17.8072,124.3339,138.4722,22.0777,10.0876,115.9535,23.1703,44.7119,28.7696,20.0782,28.6081,8.05,2.346,9.8104,6.8166,40.05,15.3704,38.8833,11.9157,20.7208,27.2519,42.9759,91.571,14.057,3.1378,35.9316,35.2773,21.0487,23.4647,0.0,0.0,7.6761,0.1661,5.3191,1.0988,4.2227,1.2882,6.2786,1.2038,0.0,0.0,2493.678844,60.7148243336685,22.494038906987,27.504828641196,0.144
6,AGO,2020,,53.62075404600774,,,,,632.3526,259.6653,780.8013,553.5965,476.6638,379.8411,517.7164,354.764,123.2553,78.2115,278.2232,217.7587,331.3458,201.2813,350.0197,295.3517,323.9516,311.0448,302.7354,260.1038,142.2164,98.4759,205.2488,163.1574,317.5803,260.8659,434.4859,439.8215,393.6643,349.7598,490.5643,452.0368,513.0425,578.802,245.1906,232.5025,377.249,305.2322,474.6374,340.2429,672.0168,389.4055,756.3076,604.8918,468.523,295.2402,426.7193,231.8228,512.7281,320.6248,434.1243,340.1661,311.7899,174.0258,533.2332,335.1593,508.5265,363.785,509.259,356.2175,414.185,329.7643,490.178,424.1749,499.5994,229.5977,539.2345,406.0089,496.2957,380.9009,0.0,0.0,521.357,77.4863,491.98,206.4829,369.8471,194.3532,450.5239,209.8625,0.0,0.0,1759.356199,54.3442286847189,25.187180764127,18.5719595053837,0.143
14,ARG,2014,,41.44156749368646,,,,53.6,110.1998,17.033,340.8042,429.6389,1185.8106,519.6936,454.7661,60.2593,38.9158,11.2043,396.885,143.054,644.9941,227.7795,1187.2132,979.0499,450.8115,642.4894,366.235,277.1575,112.9937,83.2848,688.0714,261.7817,169.5161,114.333,500.0717,509.8942,223.6937,180.2729,630.6439,498.004,317.7972,3168.4204,29.3795,40.3505,104.0216,58.8098,265.0238,118.0875,478.3687,138.8623,629.2284,235.9182,524.8176,49.7842,32.53,6.6087,71.7318,24.3214,147.428,67.9203,28.5311,3.9648,74.7005,30.4578,70.208,28.2809,506.2531,82.3992,156.2871,121.7487,121.2577,441.8352,42.5727,3.9803,300.9535,118.4043,98.7842,72.7262,0.0,0.0,36.7777,0.4889,42.5621,5.821,27.3319,17.5067,42.6429,4.7136,0.0,0.0,12233.14441,28.4067936452275,8.53190556024392,2.09270565105548,0.302
15,ARG,2015,,42.66895677541952,,,,49.61,92.2954,17.0887,281.0803,358.8339,1073.7581,437.4374,373.8699,59.5446,34.4898,11.3351,345.5824,139.7921,615.69,217.3492,1088.5319,813.0813,418.4217,530.6767,342.3649,276.4937,105.649,85.0291,540.6197,229.28,154.7505,115.6466,565.3437,567.1261,198.0581,180.0313,565.457,453.8767,380.9338,2456.7258,24.4098,42.4923,95.2953,61.2147,236.4894,116.8722,411.9724,100.7083,663.6299,237.2808,467.7981,54.6324,28.5389,6.7642,65.7574,24.9789,137.0098,71.6881,25.3103,4.2451,68.8108,32.8321,67.3583,31.5587,478.0918,84.7514,146.2861,136.8989,109.8225,480.317,39.79,4.5229,295.9515,130.8543,90.3365,78.1675,0.0,0.0,30.5325,0.4989,39.8096,5.643,24.5156,18.3224,38.431,4.9303,0.0,0.0,13679.6265,22.4862260889792,8.32315211040757,0.693912054976671,0.288
16,ARG,2016,,41.46792598269426,,,,48.34,84.3993,14.8627,249.7762,349.7762,897.1681,444.0115,301.4297,53.2652,29.9279,10.6994,289.3606,129.599,577.4913,216.6653,990.8468,755.8061,371.3533,487.0178,251.1144,234.5235,85.727,76.8652,458.4937,222.2517,128.5531,109.6945,353.8812,446.0695,142.9782,155.4062,472.3632,406.3819,200.837,2492.0633,20.2683,39.185,75.0667,54.5045,281.1973,128.6627,328.1482,88.7414,585.7656,233.9071,432.442,54.8933,30.6577,7.466,66.932,24.1375,132.9746,74.6179,23.6313,4.3177,63.5219,31.4421,60.6937,31.666,414.8984,84.3008,132.2624,145.2433,97.8904,426.9638,37.9361,4.5326,261.7461,130.7015,80.5355,74.8703,0.0,0.0,30.2624,0.5115,39.9301,5.4834,23.7318,17.6312,37.6832,4.7724,0.0,0.0,12699.96231,26.0938878488799,13.9565149181762,0.549552011638029,0.307
