,REF_AREA,TIME_PERIOD,EPI
4,AGO,2014,24.395940853116052
7,ARG,2014,41.44156749368646
10,AUS,2014,35.28714629400683
11,AUT,2014,59.88333884164868
15,BGD,2014,22.218311567374347
17,BLR,2014,35.93015643563755
18,BEL,2014,60.50245801665705
26,BRA,2014,22.414779150139584
28,BRN,2014,27.43977128255459
29,BGR,2014,52.0089565707867
33,KHM,2014,17.34391166658376
34,CMR,2014,33.24670326001128
35,CAN,2014,42.686949387388196
39,CHL,2014,27.525746125235393
40,CHN,2014,11.17561706362346
41,COL,2014,27.34749296586491
44,CRI,2014,41.01935018861547
45,CIV,2014,24.651091682213842
46,HRV,2014,50.16229979064596
49,CYP,2014,52.96231876859973
50,CZE,2014,56.012885755876376
51,COD,2014,11.362991715814468
52,DNK,2014,67.79618608808963
57,EGY,2014,29.873016333400933
61,EST,2014,29.834425421249634
67,FIN,2014,58.660486158661676
68,FRA,2014,61.13657199945551
73,DEU,2014,55.21972449050698
75,GRC,2014,48.66585043800236
87,HUN,2014,66.1287887342119
89,IND,2014,14.149775093170243
90,IDN,2014,15.26926228321296
93,IRL,2014,60.85698320864759
95,ISR,2014,35.65645372788961
96,ITA,2014,49.96546326483145
98,JPN,2014,49.58746467270331
100,JOR,2014,28.143582078625926
101,KAZ,2014,15.385515983934917
108,LVA,2014,49.77498310194512
114,LTU,2014,45.830186294637116
115,LUX,2014,53.91882345584324
119,MYS,2014,21.689611627212752
126,MEX,2014,39.77216637551382
132,MAR,2014,30.291354987869155
134,MMR,2014,33.23033029959832
138,NLD,2014,56.00078868668885
140,NZL,2014,43.417550511278016
143,NGA,2014,34.32653084298497
147,NOR,2014,48.37781386223327
149,PAK,2014,32.900503731483475
154,PER,2014,22.462945540766636
155,PHL,2014,26.601334008463503
156,POL,2014,49.45865947951189
157,PRT,2014,55.334621317958444
160,ROU,2014,66.34668013974537
161,RUS,2014,37.34885010062363
170,SEN,2014,12.523673084426516
174,SGP,2014,33.45093976188258
176,SVK,2014,56.704087709080746
177,SVN,2014,59.93002499982039
180,ZAF,2014,34.27473180091151
181,KOR,2014,26.08647603571339
183,ESP,2014,61.503653727285034
189,SWE,2014,64.60279576504242
190,CHE,2014,63.520949568884284
195,THA,2014,28.14339605559494
200,TUN,2014,32.351232162701415
201,TUR,2014,25.391484435483232
206,UKR,2014,43.77407482189801
208,GBR,2014,65.06156938658519
209,USA,2014,51.8064714732073
214,VNM,2014,16.566450843864907
224,AGO,2015,22.427692068873654
227,ARG,2015,42.66895677541952
230,AUS,2015,35.8693093875795
231,AUT,2015,57.4068938535705
235,BGD,2015,21.488075379398726
237,BLR,2015,39.51666642383472
238,BEL,2015,59.12019426744531
246,BRA,2015,23.254568547371626
248,BRN,2015,45.1094048388234
249,BGR,2015,50.99776664855185
253,KHM,2015,18.59768500478877
254,CMR,2015,28.8170676280965
255,CAN,2015,42.26382306292007
259,CHL,2015,29.460674767386017
260,CHN,2015,16.12565093925325
261,COL,2015,28.040350686479105
264,CRI,2015,45.34987479583102
265,CIV,2015,19.550538916588934
266,HRV,2015,46.60709660625918
269,CYP,2015,52.35008401438187
270,CZE,2015,56.07168763167194
271,COD,2015,11.716219703389193
272,DNK,2015,72.44197233217021
277,EGY,2015,32.7442532662117
281,EST,2015,36.1817915940895
287,FIN,2015,62.27036471326108
288,FRA,2015,60.59354890796463
293,DEU,2015,53.95559989031392
295,GRC,2015,46.4203878309448
307,HUN,2015,63.46547450397452
309,IND,2015,16.025629272755992
310,IDN,2015,15.485890603120406
313,IRL,2015,58.224955653848596
315,ISR,2015,40.80321365659526
316,ITA,2015,48.06263508925334
318,JPN,2015,49.233523638888165
320,JOR,2015,26.79434322384251
321,KAZ,2015,17.060681184128452
328,LVA,2015,51.1709708251708
334,LTU,2015,47.261063600315964
335,LUX,2015,55.42100874571862
339,MYS,2015,22.544868286107615
346,MEX,2015,41.846450811305274
352,MAR,2015,29.980313426974117
354,MMR,2015,27.738761730150344
358,NLD,2015,54.86116760060966
360,NZL,2015,42.98499969407098
363,NGA,2015,30.448692486706108
367,NOR,2015,48.581110069433045
369,PAK,2015,35.93371323940949
374,PER,2015,23.11568512996966
375,PHL,2015,22.392113002085964
376,POL,2015,51.179106222355564
377,PRT,2015,49.17181172043427
380,ROU,2015,67.89017550808074
381,RUS,2015,38.05156526474958
390,SEN,2015,9.208559772337962
394,SGP,2015,31.347242618318973
396,SVK,2015,56.020321106694745
397,SVN,2015,59.89732605439362
400,ZAF,2015,38.79988272925779
401,KOR,2015,27.729864834992508
403,ESP,2015,55.86245729135821
409,SWE,2015,65.82063571465495
410,CHE,2015,64.18777030811319
415,THA,2015,29.236960852979127
420,TUN,2015,33.14886042718141
421,TUR,2015,26.706854342006945
426,UKR,2015,45.208242456832835
428,GBR,2015,65.7380402512443
429,USA,2015,51.315057767599576
434,VNM,2015,13.313601012781199
444,AGO,2016,25.324425748920028
447,ARG,2016,41.46792598269426
450,AUS,2016,36.831206486292224
451,AUT,2016,54.76761979328958
455,BGD,2016,20.42842279523152
457,BLR,2016,42.33742929598519
458,BEL,2016,57.8935274170862
466,BRA,2016,26.433865614504032
468,BRN,2016,49.04620236719422
469,BGR,2016,51.731168473167486
473,KHM,2016,17.808024024593838
474,CMR,2016,28.076540900885412
475,CAN,2016,42.53459780250867
479,CHL,2016,30.851723626249
480,CHN,2016,22.272863269658377
481,COL,2016,28.95103103049928
484,CRI,2016,46.98253399816068
485,CIV,2016,12.646726047888542
486,HRV,2016,47.81586885148909
489,CYP,2016,49.67364933811971
490,CZE,2016,54.778094388046654
491,COD,2016,15.518703550859124
492,DNK,2016,69.88306662551209
497,EGY,2016,32.998885173843455
501,EST,2016,40.01596307236858
507,FIN,2016,57.87887506240358
508,FRA,2016,59.77927959979592
513,DEU,2016,52.11565371598859
515,GRC,2016,47.24779613922217
527,HUN,2016,59.159892258427455
529,IND,2016,17.70862345523304
530,IDN,2016,18.848772346685784
533,IRL,2016,53.06427376138461
535,ISR,2016,42.35762612031194
536,ITA,2016,48.9640946074688
538,JPN,2016,49.626437602165126
540,JOR,2016,26.921300378344185
541,KAZ,2016,17.482818543554043
548,LVA,2016,50.998270148498534
554,LTU,2016,47.57946306115747
555,LUX,2016,57.23304057020518
559,MYS,2016,24.22532320321053
566,MEX,2016,42.672413498900404
572,MAR,2016,31.1967830465378
574,MMR,2016,21.93841796555803
578,NLD,2016,54.42064148665896
580,NZL,2016,43.3329256842858
583,NGA,2016,30.334038948884288
587,NOR,2016,48.968546304691024
589,PAK,2016,33.56045049725304
594,PER,2016,26.44426887521136
595,PHL,2016,20.22393607960082
596,POL,2016,49.702456527182406
597,PRT,2016,47.84232177285173
600,ROU,2016,67.29415333788413
601,RUS,2016,38.085947625458026
610,SEN,2016,10.021354501643241
614,SGP,2016,31.291529389765774
616,SVK,2016,54.13542646356032
617,SVN,2016,58.11891026197888
620,ZAF,2016,41.5815548720314
621,KOR,2016,30.202142641137424
623,ESP,2016,58.15469344495637
629,SWE,2016,65.31760899352699
630,CHE,2016,64.50214238926068
635,THA,2016,30.500494513701963
640,TUN,2016,34.67419365435963
641,TUR,2016,26.525625242901327
646,UKR,2016,43.74799752226634
648,GBR,2016,66.4983365771593
649,USA,2016,51.1395632563483
654,VNM,2016,12.505235963279436
664,AGO,2017,32.126488281242736
667,ARG,2017,40.29457513335569
670,AUS,2017,35.86461030401725
671,AUT,2017,51.73291293373118
675,BGD,2017,20.02715955923418
677,BLR,2017,44.99549495924557
678,BEL,2017,56.31933190182066
686,BRA,2017,29.617084260874485
688,BRN,2017,47.49819883953527
689,BGR,2017,47.644481525695184
693,KHM,2017,16.537051164352707
694,CMR,2017,26.82808133161871
695,CAN,2017,40.096536055407675
699,CHL,2017,30.40542282738728
700,CHN,2017,27.96344608899732
701,COL,2017,33.06419147194162
704,CRI,2017,44.624191426257184
705,CIV,2017,10.014698411964437
706,HRV,2017,48.5710887526183
709,CYP,2017,48.23122543906471
710,CZE,2017,51.00308658585961
711,COD,2017,17.62953058527524
712,DNK,2017,69.23176363284013
717,EGY,2017,32.618070567365756
721,EST,2017,35.80130500857968
727,FIN,2017,64.9051275727313
728,FRA,2017,58.37586667283439
733,DEU,2017,51.737037636465985
735,GRC,2017,48.234605239735465
747,HUN,2017,52.966536002062305
749,IND,2017,19.419997172945
750,IDN,2017,20.198676544593233
753,IRL,2017,49.080629338245984
755,ISR,2017,46.49698481106112
756,ITA,2017,52.321138927943615
758,JPN,2017,48.993223530818256
760,JOR,2017,25.353467644514996
761,KAZ,2017,16.889273933014533
768,LVA,2017,49.22151645249557
774,LTU,2017,44.597145892754924
775,LUX,2017,57.8000763197593
779,MYS,2017,27.37222409118452
786,MEX,2017,44.07304702519924
792,MAR,2017,31.270152561825753
794,MMR,2017,18.261742315573144
798,NLD,2017,53.090338339484234
800,NZL,2017,42.499883150885324
803,NGA,2017,34.83190549693548
807,NOR,2017,48.16699863931741
809,PAK,2017,27.381332669571023
814,PER,2017,27.305510580031665
815,PHL,2017,16.987180928117972
816,POL,2017,46.99247285665653
817,PRT,2017,47.39512897216815
820,ROU,2017,61.72127788540019
821,RUS,2017,36.9736975356627
830,SEN,2017,10.931800892265978
834,SGP,2017,30.9167567952648
836,SVK,2017,51.57753695313074
837,SVN,2017,60.109439574866336
840,ZAF,2017,42.691247579365346
841,KOR,2017,31.874359763703772
843,ESP,2017,57.91106702670512
849,SWE,2017,64.93564177734972
850,CHE,2017,65.82807023926469
855,THA,2017,31.4774033634716
860,TUN,2017,35.308117586583116
861,TUR,2017,24.42430467782233
866,UKR,2017,44.01217964466846
868,GBR,2017,66.41475236094892
869,USA,2017,49.54957584511335
874,VNM,2017,13.089254220640786
884,AGO,2018,40.783304668089485
887,ARG,2018,38.30972955688857
890,AUS,2018,36.026876006522436
891,AUT,2018,50.40674847518851
895,BGD,2018,20.934219375366055
897,BLR,2018,44.344210555703924
898,BEL,2018,53.02787560157238
906,BRA,2018,33.567700229698914
908,BRN,2018,38.96212525095883
909,BGR,2018,46.62561941278866
913,KHM,2018,15.109241170141148
914,CMR,2018,27.633205420375283
915,CAN,2018,38.364545771677044
919,CHL,2018,29.889029924472382
920,CHN,2018,32.489425747160794
921,COL,2018,34.372151695793896
924,CRI,2018,40.91084015816489
925,CIV,2018,11.658227036919126
926,HRV,2018,51.337995472601094
929,CYP,2018,47.5964920092302
930,CZE,2018,49.102269889684926
931,COD,2018,18.267714355226587
932,DNK,2018,67.89940085492617
937,EGY,2018,33.55797528476021
941,EST,2018,36.59621065185628
947,FIN,2018,64.41961434503123
948,FRA,2018,58.53942555346429
953,DEU,2018,51.910125365187284
955,GRC,2018,51.70535012460842
967,HUN,2018,48.12988146867426
969,IND,2018,20.260985672219185
970,IDN,2018,22.579372325887093
973,IRL,2018,45.969857095363416
975,ISR,2018,46.72660790623497
976,ITA,2018,57.5711029891743
978,JPN,2018,51.302492014257695
980,JOR,2018,26.145455272471896
981,KAZ,2018,16.166553065470307
